,kingdom,phylum,class,order,family,genus,species,key
41,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,2427091
42,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia grandiflora,5421039
43,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia peploides,5420991
44,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium japonicum,2650436
45,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lysichiton,Lysichiton americanus,2869311
46,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Microstegium,Microstegium vimineum,5289808
47,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Muntiacus reevesi,2440946
48,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,Myocastor coypus,4264680
49,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,5361785
50,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum heterophyllum,5361762
51,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,2433536
52,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis juliflora,5358460
53,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,2434552
54,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,5219858
55,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,2498305
56,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,Pacifastacus leniusculus,2226990
57,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,3086784
58,Animalia,Chordata,,Perciformes,Odontobutidae,Perccottus,Perccottus glenii,2390064
59,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria perfoliata,4033648
60,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes,2870583
61,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Pontederia,Pontederia crassipes,2765942
62,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus clarkii,2227300
63,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus virginalis,9442269
64,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,5218786
65,Animalia,Chordata,,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva,2362868
66,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,2486131
67,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Rugulopteryx,Rugulopteryx okamurae,5824863
68,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Salvinia,Salvinia molesta,5274863
69,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,5219681
70,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,5219683
71,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,5035230
72,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias sibiricus,2437450
73,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis aethiopicus,2480764
74,Animalia,Chordata,Testudines,,Emydidae,Trachemys,Trachemys scripta,2443002
75,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica,Triadica sebifera,3054399
76,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,1315391
77,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,5217334
