"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"30",2765942,815,"Pontederia crassipes Mart.","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae"
"14",2437394,887,"Callosciurus erythraeus (Pallas, 1779)","Animalia","Chordata","Mammalia","Rodentia","Sciuridae"
"33",2870583,900,"Pistia stratiotes L.","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae"
"61",5361762,1041,"Myriophyllum heterophyllum Michx.","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae"
"9",2390064,1074,"Perccottus glenii Dybowski, 1877","Animalia","Chordata","","Perciformes","Odontobutidae"
"65",5712056,1175,"Fundulus heteroclitus (Linnaeus, 1766)","Animalia","Chordata","","Cyprinodontiformes","Fundulidae"
"23",2489005,1186,"Acridotheres tristis (Linnaeus, 1766)","Animalia","Chordata","Aves","Passeriformes","Sturnidae"
"67",5828232,1230,"Cenchrus setaceus (Forssk.) Morrone","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae"
"21",2482499,1246,"Corvus splendens Vieillot, 1817","Animalia","Chordata","Aves","Passeriformes","Corvidae"
"36",2978552,2320,"Acacia saligna (Labill.) H.L.Wendl.","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae"
"72",8848208,3203,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae"
"31",2865565,3388,"Lagarosiphon major (Ridl.) Moss","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae"
"47",3628745,4310,"Heracleum persicum Desf.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae"
"26",2502792,4652,"Arthurdendyus triangulatus (Dendy, 1895)","Animalia","Platyhelminthes","","Tricladida","Geoplanidae"
"16",2437450,4889,"Tamias sibiricus (Laxmann, 1769)","Animalia","Chordata","Mammalia","Rodentia","Sciuridae"
"7",2350580,5478,"Gambusia affinis (Baird & Girard, 1853)","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae"
"44",3170247,5620,"Asclepias syriaca L.","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae"
"6",2350570,5867,"Gambusia holbrooki Girard, 1859","Animalia","Chordata","","Cyprinodontiformes","Poeciliidae"
"62",5361785,7043,"Myriophyllum aquaticum (Vell.) Verdc.","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae"
"13",2434552,8539,"Nyctereutes procyonoides (Gray, 1834)","Animalia","Chordata","Mammalia","Carnivora","Canidae"
"63",5420991,9000,"Ludwigia peploides (Kunth) P.H.Raven","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae"
"43",3129663,10287,"Baccharis halimifolia L.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"32",2869311,11640,"Lysichiton americanus Hultén & H.St.John","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae"
"37",2984306,14948,"Gunnera tinctoria (Molina) Mirb.","Plantae","Tracheophyta","Magnoliopsida","Gunnerales","Gunneraceae"
"20",2480764,15467,"Threskiornis aethiopicus (Latham, 1790)","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae"
"64",5421039,16597,"Ludwigia grandiflora (Michx.) Greuter & Burdet","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae"
"70",7978544,16779,"Hydrocotyle ranunculoides L.fil.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae"
"2",2225776,18003,"Eriocheir sinensis H.Milne Edwards, 1853","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae"
"11",2427091,20303,"Lithobates catesbeianus (Shaw, 1802)","Animalia","Chordata","Amphibia","Anura","Ranidae"
"53",5218786,20737,"Procyon lotor (Linnaeus, 1758)","Animalia","Chordata","Mammalia","Carnivora","Procyonidae"
"18",2440946,22864,"Muntiacus reevesi (Ogilby, 1839)","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae"
"48",3642949,25184,"Heracleum sosnowskyi Manden.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae"
"5",2340977,26679,"Ameiurus melas (Rafinesque, 1820)","Animalia","Chordata","","Siluriformes","Ictaluridae"
"4",2227300,42692,"Procambarus clarkii (Girard, 1852)","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae"
"73",8909595,47591,"Faxonius limosus (Rafinesque, 1817)","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae"
"25",2498305,48988,"Oxyura jamaicensis (J.F.Gmelin, 1789)","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"19",2443002,51246,"Trachemys scripta (Thunberg In Schoepff, 1792)","Animalia","Chordata","Testudines","","Emydidae"
"8",2362868,78242,"Pseudorasbora parva (Temminck & Schlegel, 1846)","Animalia","Chordata","","Cypriniformes","Cyprinidae"
"46",3190653,89690,"Ailanthus altissima (Mill.) Swingle","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae"
"59",5329212,91189,"Elodea nuttallii (Planch.) H.St.John","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae"
"3",2226990,95938,"Pacifastacus leniusculus (Dana, 1852)","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae"
"50",4264680,96184,"Myocastor coypus (Molina, 1782)","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae"
"10",2394486,128034,"Lepomis gibbosus (Linnaeus, 1758)","Animalia","Chordata","","Perciformes","Centrarchidae"
"39",3034825,146615,"Heracleum mantegazzianum Sommier & Levier","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae"
"54",5219681,276028,"Sciurus carolinensis Gmelin, 1788","Animalia","Chordata","Mammalia","Rodentia","Sciuridae"
"35",2891770,395400,"Impatiens glandulifera Royle","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae"
"56",5219858,634997,"Ondatra zibethicus (Linnaeus, 1766)","Animalia","Chordata","Mammalia","Rodentia","Cricetidae"
"24",2498252,1038616,"Alopochen aegyptiaca (Linnaeus, 1766)","Animalia","Chordata","Aves","Anseriformes","Anatidae"
